PacketCounter;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00168;;;;;;;;;-0.072444;0.340288;-0.857731;-0.744628;-0.317932;-1.108223
00169;;;;;;;;;-0.074604;0.338087;-0.859800;-0.744779;-0.318260;-1.112440
00170;;;;;;;;;-0.074766;0.342415;-0.862003;-0.745797;-0.318285;-1.115785
00171;;;;;;;;;-0.072526;0.342451;-0.857775;-0.745798;-0.318631;-1.119887
00172;;;;;;;;;-0.074769;0.342410;-0.855656;-0.744569;-0.318501;-1.123507
00173;;;;;;;;;-0.079334;0.344498;-0.859925;-0.744197;-0.318614;-1.126470
00174;;;;;;;;;-0.081415;0.340130;-0.855603;-0.743762;-0.318927;-1.130974
00175;;;;;;;;;-0.070201;0.340327;-0.857734;-0.743970;-0.318952;-1.135302
00176;;;;;;;;;-0.072689;0.346779;-0.859977;-0.745015;-0.318122;-1.139576
00177;;;;;;;;;-0.077012;0.342371;-0.855653;-0.744701;-0.318062;-1.140315
00178;;;;;;;;;-0.070200;0.340329;-0.859850;-0.743679;-0.318257;-1.143941
00179;;;;;;;;;-0.081168;0.333642;-0.857588;-0.742508;-0.317580;-1.149422
00180;;;;;;;;;-0.076929;0.340210;-0.857725;-0.742075;-0.317417;-1.150679
00181;;;;;;;;;-0.079252;0.342337;-0.861996;-0.741588;-0.317246;-1.157175
00182;;;;;;;;;-0.081741;0.348785;-0.860009;-0.741607;-0.316995;-1.159960
00183;;;;;;;;;-0.072443;0.340290;-0.859847;-0.740393;-0.317453;-1.164653
00184;;;;;;;;;-0.074769;0.342410;-0.855656;-0.740821;-0.317373;-1.169249
00185;;;;;;;;;-0.074850;0.344575;-0.857816;-0.742142;-0.317026;-1.170113
00186;;;;;;;;;-0.076929;0.340210;-0.857725;-0.742203;-0.317308;-1.174059
00187;;;;;;;;;-0.076928;0.340211;-0.859841;-0.742002;-0.317314;-1.177310
00188;;;;;;;;;-0.072526;0.342451;-0.857775;-0.741494;-0.318094;-1.181542
00189;;;;;;;;;-0.076929;0.340210;-0.857725;-0.740806;-0.318582;-1.184817
00190;;;;;;;;;-0.072605;0.344619;-0.864165;-0.740267;-0.318194;-1.187233
00191;;;;;;;;;-0.074605;0.338086;-0.857685;-0.740537;-0.318266;-1.192261
00192;;;;;;;;;-0.081577;0.344459;-0.859922;-0.739830;-0.318658;-1.195189
00193;;;;;;;;;-0.074687;0.340249;-0.857728;-0.739154;-0.317611;-1.199578
00194;;;;;;;;;-0.079337;0.344494;-0.853579;-0.740377;-0.316529;-1.206272
00195;;;;;;;;;-0.077010;0.342374;-0.859884;-0.740888;-0.315773;-1.207815
00196;;;;;;;;;-0.072607;0.344616;-0.859934;-0.741708;-0.315190;-1.212415
00197;;;;;;;;;-0.074605;0.338084;-0.855569;-0.742266;-0.315128;-1.214863
00198;;;;;;;;;-0.077011;0.342373;-0.857769;-0.743084;-0.314419;-1.216307
00199;;;;;;;;;-0.079254;0.342332;-0.855650;-0.743836;-0.313745;-1.221277
00200;;;;;;;;;-0.074686;0.340250;-0.859844;-0.743790;-0.312259;-1.226140
00201;;;;;;;;;-0.079252;0.342335;-0.859881;-0.744619;-0.311654;-1.231302
00202;;;;;;;;;-0.074850;0.344575;-0.857816;-0.744498;-0.311692;-1.233654
00203;;;;;;;;;-0.072526;0.342451;-0.857775;-0.744522;-0.311829;-1.238277
00204;;;;;;;;;-0.077095;0.344533;-0.853582;-0.744740;-0.310921;-1.240485
00205;;;;;;;;;-0.079171;0.340172;-0.859838;-0.744695;-0.310166;-1.242977
00206;;;;;;;;;-0.072525;0.342453;-0.859890;-0.744858;-0.310020;-1.248976
00207;;;;;;;;;-0.074768;0.342412;-0.857772;-0.744794;-0.310327;-1.253996
00208;;;;;;;;;-0.072360;0.338128;-0.861918;-0.745298;-0.310457;-1.255762
00209;;;;;;;;;-0.074687;0.340249;-0.857728;-0.744799;-0.310085;-1.260456
00210;;;;;;;;;-0.074766;0.342415;-0.862003;-0.745310;-0.310764;-1.263870
00211;;;;;;;;;-0.065795;0.342573;-0.864130;-0.745759;-0.311221;-1.267745
00212;;;;;;;;;-0.074687;0.340247;-0.855613;-0.745453;-0.310282;-1.271318
00213;;;;;;;;;-0.074766;0.342415;-0.862003;-0.745314;-0.311070;-1.271491
00214;;;;;;;;;-0.076929;0.340210;-0.857725;-0.745985;-0.310605;-1.279129
00215;;;;;;;;;-0.070281;0.342493;-0.862009;-0.746200;-0.311488;-1.283739
00216;;;;;;;;;-0.081661;0.346619;-0.855734;-0.746235;-0.311421;-1.288555
00217;;;;;;;;;-0.079253;0.342334;-0.857766;-0.746266;-0.311635;-1.290669
00218;;;;;;;;;-0.079336;0.344495;-0.855694;-0.744943;-0.311340;-1.298913
00219;;;;;;;;;-0.081414;0.340132;-0.857719;-0.745515;-0.311414;-1.304285
00220;;;;;;;;;-0.074851;0.344573;-0.855700;-0.745842;-0.311916;-1.309247
00221;;;;;;;;;-0.072609;0.344613;-0.855703;-0.744970;-0.312560;-1.314000
00222;;;;;;;;;-0.070364;0.344655;-0.859937;-0.743988;-0.313058;-1.314362
00223;;;;;;;;;-0.074686;0.340250;-0.859844;-0.744632;-0.314245;-1.317121
00224;;;;;;;;;-0.068041;0.342529;-0.857781;-0.744089;-0.313886;-1.319690
00225;;;;;;;;;-0.072444;0.340288;-0.857731;-0.743999;-0.313578;-1.325922
00226;;;;;;;;;-0.077012;0.342371;-0.855653;-0.744053;-0.314320;-1.327517
00227;;;;;;;;;-0.074605;0.338086;-0.857685;-0.742721;-0.315319;-1.333600
00228;;;;;;;;;-0.077173;0.346702;-0.862087;-0.742402;-0.315622;-1.340273
00229;;;;;;;;;-0.077011;0.342373;-0.857769;-0.742207;-0.315456;-1.344042
00230;;;;;;;;;-0.079173;0.340169;-0.855607;-0.742193;-0.314811;-1.349115
